"MaterialPlantKey","YearMonth","SalesQuantity","X.x","MaterialKey.x","PlantKey.x","SnapshotDate","GrossInventoryQuantity","OnShelfInventoryQuantity","InTransitQuantity","X.y","MaterialKey.y","PlantKey.y","VendorKey","StandardCost","Currency","ProductionTime","InboundTransportationTime","GoodReceiptProcessingTime","TotalInboundLeadTime","SafetyStockQty","line","SalesQuantityScaled","GrossInventoryQuantityScaled"
20006,"2022-01",469,8,2,6,"2021-12-31",591,520,71,8,2,6,1003,3600.24,"EUR",20,1,2,23,200,791,-4.0255746946382,0.0613088607232723
20006,"2022-02",1750,18,2,6,"2022-01-31",650.1,582,68.1,8,2,6,1003,3600.24,"EUR",20,1,2,23,200,850.1,-0.943797680442,0.529061008123497
20006,"2022-03",2429,28,2,6,"2022-02-28",669.603,624,45.6030000000001,8,2,6,1003,3600.24,"EUR",20,1,2,23,200,869.603,0.689712540197516,0.683419216765571
20006,"2022-04",2091,38,2,6,"2022-03-31",676.29903,587,89.29903,8,2,6,1003,3600.24,"EUR",20,1,2,23,200,876.29903,-0.123433931932317,0.736415535066017
20006,"2022-05",2778,48,2,6,"2022-04-30",676.29903,617,59.29903,8,2,6,1003,3600.24,"EUR",20,1,2,23,200,876.29903,1.52932235905347,0.736415535066017
20006,"2022-06",2253,58,2,6,"2022-05-31",737.1659427,644,93.1659427,8,2,6,1003,3600.24,"EUR",20,1,2,23,200,937.1659427,0.266298992579615,1.21815206841707
20006,"2022-07",2302,68,2,6,"2022-06-30",744.537602127,652,92.537602127,8,2,6,1003,3600.24,"EUR",20,1,2,23,200,944.537602127,0.384181173450508,1.27649571523403
20006,"2022-08",2525,78,2,6,"2022-07-31",729.64685008446,665,64.64685008446,8,2,6,1003,3600.24,"EUR",20,1,2,23,200,929.64685008446,0.920665384352735,1.15864154866377
20006,"2022-09",2223,88,2,6,"2022-08-31",663.978633576859,569,94.9786335768586,8,2,6,1003,3600.24,"EUR",20,1,2,23,200,863.978633576859,0.194126228781109,0.638904674088923
20006,"2022-10",2418,98,2,6,"2022-09-30",577.661411211867,507,70.6614112118669,8,2,6,1003,3600.24,"EUR",20,1,2,23,200,777.661411211867,0.663249193471397,-0.044260573268907
20006,"2022-11",2203,108,2,6,"2022-10-31",646.980780557291,570,76.9807805572909,8,2,6,1003,3600.24,"EUR",20,1,2,23,200,846.980780557291,0.146011052915439,0.504373671532302
20006,"2022-12",2138,118,2,6,"2022-11-30",575.812894695989,483,92.8128946959889,8,2,6,1003,3600.24,"EUR",20,1,2,23,200,775.812894695989,-0.0103632686479908,-0.0588908197969388
20006,"2023-01",2241,128,2,6,"2022-12-31",639.152313112548,587,52.1523131125477,8,2,6,1003,3600.24,"EUR",20,1,2,23,200,839.152313112548,0.237429887060213,0.442414577486086
20006,"2023-02",1722,138,2,6,"2023-01-31",581.628604932418,527,54.6286049324184,8,2,6,1003,3600.24,"EUR",20,1,2,23,200,781.628604932418,-1.01115892665394,-0.0128618696827739
20006,"2023-03",2425,148,2,6,"2023-02-28",663.056609622957,621,42.056609622957,8,2,6,1003,3600.24,"EUR",20,1,2,23,200,863.056609622957,0.680089505024382,0.631607234420697
20006,"2023-04",1925,158,2,6,"2023-03-31",716.101138392794,634,82.1011383927936,8,2,6,1003,3600.24,"EUR",20,1,2,23,200,916.101138392794,-0.522789891617382,1.05143282223667
20006,"2023-05",2314,168,2,6,"2023-04-30",723.262149776722,632,91.2621497767216,8,2,6,1003,3600.24,"EUR",20,1,2,23,200,923.262149776722,0.41305027896991,1.10810927659183
20006,"2023-06",2144,178,2,6,"2023-05-31",578.609719821377,523,55.6097198213772,8,2,6,1003,3600.24,"EUR",20,1,2,23,200,778.609719821377,0.00407128411171042,-0.0367551013823344
20006,"2023-07",1930,188,2,6,"2023-06-30",491.818261848171,437,54.8182618481707,8,2,6,1003,3600.24,"EUR",20,1,2,23,200,691.818261848171,-0.510761097650965,-0.723673728166826
20006,"2023-08",2233,198,2,6,"2023-07-31",403.2909747155,363,40.2909747154999,8,2,6,1003,3600.24,"EUR",20,1,2,23,200,603.2909747155,0.218183816713944,-1.42433072748701
20006,"2023-09",2304,208,2,6,"2023-08-31",407.323884462655,383,24.3238844626549,8,2,6,1003,3600.24,"EUR",20,1,2,23,200,607.323884462655,0.388992691037075,-1.39241190862909
20006,"2023-10",2022,218,2,6,"2023-09-30",468.422467132053,412,56.4224671320532,8,2,6,1003,3600.24,"EUR",20,1,2,23,200,668.422467132053,-0.28943128866888,-0.908841802931615
20006,"2023-11",1969,228,2,6,"2023-10-31",412.211771076207,402,10.2117710762068,8,2,6,1003,3600.24,"EUR",20,1,2,23,200,612.211771076207,-0.416936504712907,-1.35372630017329
20006,"2023-12",2490,238,2,6,"2023-11-30",395.723300233159,372,23.7233002331585,8,2,6,1003,3600.24,"EUR",20,1,2,23,200,595.723300233159,0.836463826587811,-1.48422575269752
20006,"2024-01",2125,248,2,6,"2023-12-31",411.552232242485,347,64.5522322424849,8,2,6,1003,3600.24,"EUR",20,1,2,23,200,611.552232242485,-0.0416381329606766,-1.35894627827426
20006,"2024-02",2277,258,2,6,"2024-01-31",333.357308116413,294,39.3573081164128,8,2,6,1003,3600.24,"EUR",20,1,2,23,200,533.357308116413,0.32403720361842,-1.97782688192516
