"MaterialPlantKey","YearMonth","SalesQuantity","X.x","MaterialKey.x","PlantKey.x","SnapshotDate","GrossInventoryQuantity","OnShelfInventoryQuantity","InTransitQuantity","X.y","MaterialKey.y","PlantKey.y","VendorKey","StandardCost","Currency","ProductionTime","InboundTransportationTime","GoodReceiptProcessingTime","TotalInboundLeadTime","SafetyStockQty","line","SalesQuantityScaled","GrossInventoryQuantityScaled"
10008,"2022-01",1768,5,1,8,"2021-12-31",1028,915,113,5,1,8,1002,31173.03,"SEK",20,2,2,24,450,1478,-4.4102847264439,3.13925010331031
10008,"2022-02",5498,15,1,8,"2022-01-31",822.4,714,108.4,5,1,8,1002,31173.03,"SEK",20,2,2,24,450,1272.4,-1.101556181877,1.54507236823821
10008,"2022-03",6732,25,1,8,"2022-02-28",674.368,616,58.3679999999999,5,1,8,1002,31173.03,"SEK",20,2,2,24,450,1124.368,-0.00692588053770969,0.397264398986294
10008,"2022-04",7178,35,1,8,"2022-03-31",586.70016,546,40.70016,5,1,8,1002,31173.03,"SEK",20,2,2,24,450,1036.70016,0.388702251064659,-0.282492987248451
10008,"2022-05",7090,45,1,8,"2022-04-30",604.3011648,582,22.3011647999999,5,1,8,1002,31173.03,"SEK",20,2,2,24,450,1054.3011648,0.31064109505343,-0.146018619704398
10008,"2022-06",7083,55,1,8,"2022-05-31",562.000083264,546,16.000083264,5,1,8,1002,31173.03,"SEK",20,2,2,24,450,1012.000083264,0.304431684916173,-0.474012016368605
10008,"2022-07",7007,65,1,8,"2022-06-30",522.66007743552,499,23.66007743552,5,1,8,1002,31173.03,"SEK",20,2,2,24,450,972.66007743552,0.237015231997383,-0.779045875266316
10008,"2022-08",7334,75,1,8,"2022-07-31",470.394069691968,421,49.394069691968,5,1,8,1002,31173.03,"SEK",20,2,2,24,450,920.394069691968,0.527083391266385,-1.1843051449447
10008,"2022-09",6973,85,1,8,"2022-08-31",536.249239448843,443,93.2492394488435,5,1,8,1002,31173.03,"SEK",20,2,2,24,450,986.249239448843,0.206855239902135,-0.673678465149939
10008,"2022-10",6299,95,1,8,"2022-09-30",487.986807898448,457,30.9868078984476,5,1,8,1002,31173.03,"SEK",20,2,2,24,450,937.986807898448,-0.391022250456602,-1.04789487477096
10008,"2022-11",6814,105,1,8,"2022-10-31",551.425092925246,486,65.4250929252457,5,1,8,1002,31173.03,"SEK",20,2,2,24,450,1001.42509292525,0.0658129239272998,-0.556008194124656
10008,"2022-12",7532,115,1,8,"2022-11-30",617.596104076275,547,70.5961040762752,5,1,8,1002,31173.03,"SEK",20,2,2,24,450,1067.59610407627,0.702720992291652,-0.0429325487735951
10008,"2023-01",7375,125,1,8,"2022-12-31",704.059558646954,614,90.0595586469537,5,1,8,1002,31173.03,"SEK",20,2,2,24,450,1154.05955864695,0.563452793498889,0.627486294485133
10008,"2023-02",6820,135,1,8,"2023-01-31",704.059558646954,608,96.0595586469537,5,1,8,1002,31173.03,"SEK",20,2,2,24,450,1154.05955864695,0.0711352754735201,0.627486294485133
10008,"2023-03",7710,145,1,8,"2023-02-28",753.343727752241,696,57.3437277522405,5,1,8,1002,31173.03,"SEK",20,2,2,24,450,1203.34372775224,0.860617421496185,1.00962503514261
10008,"2023-04",6604,155,1,8,"2023-03-31",806.077788694897,735,71.0777886948973,5,1,8,1002,31173.03,"SEK",20,2,2,24,450,1256.0777886949,-0.120469380190408,1.4185134876461
10008,"2023-05",7707,165,1,8,"2023-04-30",685.166120390663,638,47.1661203906627,5,1,8,1002,31173.03,"SEK",20,2,2,24,450,1135.16612039066,0.857956245723074,0.480990678691658
10008,"2023-06",7381,175,1,8,"2023-05-31",568.68787992425,507,61.6878799242501,5,1,8,1002,31173.03,"SEK",20,2,2,24,450,1018.68787992425,0.56877514504511,-0.42215629393446
10008,"2023-07",6496,185,1,8,"2023-06-30",591.43539512122,524,67.43539512122,5,1,8,1002,31173.03,"SEK",20,2,2,24,450,1041.43539512122,-0.216271708022371,-0.24577700280983
10008,"2023-08",6936,195,1,8,"2023-07-31",668.321996486979,591,77.3219964869786,5,1,8,1002,31173.03,"SEK",20,2,2,24,450,1118.32199648698,0.174034072033777,0.35038500119142
10008,"2023-09",6105,205,1,8,"2023-08-31",634.90589666263,546,88.9058966626296,5,1,8,1002,31173.03,"SEK",20,2,2,24,450,1084.90589666263,-0.563111617117722,0.0912838225293391
10008,"2023-10",6657,215,1,8,"2023-09-30",628.556837696003,580,48.5568376960033,5,1,8,1002,31173.03,"SEK",20,2,2,24,450,1078.556837696,-0.0734552748654623,0.0420545985835382
10008,"2023-11",7120,225,1,8,"2023-10-31",534.273312041603,493,41.2733120416028,5,1,8,1002,31173.03,"SEK",20,2,2,24,450,984.273312041603,0.337252852784531,-0.688999377011518
10008,"2023-12",6648,235,1,8,"2023-11-30",454.132315235362,413,41.1323152353624,5,1,8,1002,31173.03,"SEK",20,2,2,24,450,904.132315235362,-0.0814388021847926,-1.31039525626732
10008,"2024-01",7191,245,1,8,"2023-12-31",517.710839368313,497,20.7108393683131,5,1,8,1002,31173.03,"SEK",20,2,2,24,450,967.710839368313,0.400234012748136,-0.81742119205772
10008,"2024-02",7177,255,1,8,"2024-01-31",486.648189006214,426,60.6481890062144,5,1,8,1002,31173.03,"SEK",20,2,2,24,450,936.648189006214,0.387815192473623,-1.05827423485727
